timestamp,middleware_hsf_provider_rt,middleware_metaq_send_success_rate,middleware_hsf_provider_biz_pool_usage,middleware_tddl_read_table_rt,middleware_tddl_read_table_success_rate,middleware_tair_read_hit_rate,pod_nginx_rt,middleware_tddl_write_table_success_rate,pod_nginx_qps,middleware_metaq_receive_success_rate,middleware_tair_write_success_rate,middleware_notify_send_qps,middleware_metaq_receive_rt,pod_event_oom,middleware_hsf_consumer_rt,middleware_tddl_write_table_rt,middleware_hsf_consumer_success_rate,middleware_notify_receive_qps,middleware_hsf_online,middleware_tair_write_qps,jvm_gc_fgc_time,middleware_hsf_consumer_qps,middleware_hsf_provider_success_rate,pod_cpu_load_average_1m_util_limit_v2,middleware_notify_receive_rt,middleware_tair_read_qps,middleware_tair_write_rt,middleware_metaq_send_rt,middleware_tair_read_rt,middleware_hsf_provider_qps,middleware_tair_read_success_rate,pod_network_retran_util,middleware_notify_receive_success_rate,jvm_gc_fgc_count,pod_cpu_limit_usage
1747045380000,72.9881,0.9999,0.0694,0.8244,1.0,0.0434,1.1961,0.9999,5.0436,0.9803,1.0,0.0,88.3596,0.0,20.7088,2.3057,0.9996,0.026,1.0,0.0,0.0,0.047,1.0,0.3903,37.0179,0.1693,1.2,2.4882,0.5639,0.0314,1.0,0.026,0.9302,0.0,0.3148
1747045440000,71.3296,1.0,0.0694,0.8186,1.0,0.0452,1.145,1.0,5.0542,0.9826,1.0,0.0,89.9699,0.0,20.1101,2.3245,0.9997,0.0261,1.0,0.0,0.0,0.0483,1.0,0.3965,38.3416,0.1683,1.1333,2.4327,0.5697,0.0326,1.0,0.0215,0.9327,0.0,0.3137
1747045500000,71.0381,1.0,0.0694,0.9223,1.0,0.0444,1.158,0.9999,5.03,0.979,1.0,0.0,89.2032,0.0,20.0914,2.3335,0.9996,0.0262,1.0,0.0,25.6,0.0487,1.0,0.4047,36.157,0.1706,1.2667,2.4198,0.5643,0.0321,1.0,0.0211,0.9319,0.0364,0.3167
1747045560000,71.1076,1.0,0.0694,0.8925,1.0,0.0447,1.6033,0.9999,5.0455,0.9819,1.0,0.0,87.6433,0.0,20.1385,2.2973,0.9997,0.0261,1.0,0.0,13.0182,0.0467,1.0,0.4043,36.5145,0.1697,1.5,2.3704,0.5592,0.0309,1.0,0.0195,0.9299,0.0182,0.3092
1747045620000,70.9623,1.0,0.0694,0.8919,1.0,0.0446,1.1681,0.9999,5.0445,0.9825,1.0,0.0,84.2746,0.0,19.7788,2.2886,0.9997,0.026,1.0,0.0,0.0,0.0476,1.0,0.4102,36.176,0.1676,1.4,2.4054,0.5634,0.032,1.0,0.0199,0.9314,0.0,0.308
1747045680000,70.4728,1.0,0.0694,0.8559,1.0,0.0443,1.1491,0.9999,5.0365,0.9832,1.0,0.0,82.4227,0.0,19.8358,2.302,0.9997,0.0266,1.0,0.0,0.0,0.048,1.0,0.3947,36.3364,0.1681,1.4,2.4192,0.5615,0.0315,1.0,0.0182,0.9324,0.0,0.318
1747045740000,71.7262,1.0,0.0694,0.8298,1.0,0.0442,1.1076,1.0,5.0524,0.9831,1.0,0.0,88.0631,0.0,20.599,2.3012,0.9997,0.0264,1.0,0.0,0.3818,0.0479,1.0,0.398,36.4468,0.1652,1.4286,2.3654,0.5594,0.0328,1.0,0.0284,0.9285,0.0,0.3125
1747045800000,70.0572,1.0,0.0694,0.855,1.0,0.0427,1.1497,0.9999,5.0283,0.9815,1.0,0.0,82.8161,0.0,20.1268,2.3089,0.9997,0.0259,1.0,0.0,28.9818,0.0475,1.0,0.3945,34.7463,0.1685,1.8571,2.6915,0.5534,0.031,1.0,0.0199,0.9338,0.0364,0.3055
1747045860000,70.461,1.0,0.0694,0.9605,1.0,0.0433,1.6697,0.9999,5.0164,0.977,1.0,0.0,85.5025,0.0,19.952,2.3244,0.9996,0.0258,1.0,0.0,40.9091,0.047,1.0,0.3952,35.062,0.1685,1.8462,2.5755,0.551,0.0317,1.0,0.0258,0.9311,0.0727,0.3013
1747045920000,73.5901,1.0,0.0694,1.078,1.0,0.0416,1.1054,0.9999,5.0383,0.9819,1.0,0.0,89.632,0.0,20.4888,2.2965,0.9996,0.0258,1.0,0.0,38.1636,0.0484,1.0,0.4081,36.8531,0.1706,1.1111,2.4922,0.557,0.0313,1.0,0.028,0.9322,0.0545,0.309
